Question	Answer
D you have plans for later?	My slate is full for my whole visit here.
Do you like vegan food?	I always feel good about plant based.
Want to go see a movie?	I'm down.
Have you stayed in contact with any of our other friends?	There are a few a speak to online.
Are you willing to do any contract work?	If the pay is high enough.
Is reggae your thing?	Bob Marley is my favorite artist.
Do you like short stories?	I prefer a long book.
Do you plan to see your friend during this visit?	I hope I see them
Want to grab something to eat?	Let's get tacos.
Would you like a building with a doorman?	That would be nice
Do you like illustrations?	Pictures make a book more interesting.
Are you into non-fiction?	I enjoy true stories.
Want to go get a drink??	I want to have 3 drinks.
Are you an avid reader?	I read constantly.
Do you mind seafood?	I'm in the mood for crab legs.
Do you have any pets?	My cat just turned one year old.
Are you meeting everyone at the bar?	I believe so
Do you like eating fast food?	I do not eat fast food.
Do you want to go to the mall?	I hate shopping.
Would you want to go to see Garth Brooks tomorrow?	that would bencie
Are you a pescatarian?	Most of the time I don't eat any fish or meat.
Do you still play guitar?	I ended up selling my guitar to pay for textbooks.
Do you like mysteries?	I only read them once in a while.
Do like readers digest?	I've never gotten into them.
Have you lived here very long?	I moved in 6 months ago.
Do you want a new challenge?	A challenge would be great.
Do you want to go sightseeing this weekend?	That would be nice
Are you working nearby?	I work in this building.
Does it feel strange to see me again?	If feels great to see you again.
Is it the end of the day already?	It's hard to believe.
Are you into fiction?	I really am
Want to see a sports game?	If we can see the Rockets play.
Do you have a date?	I have a date with my wife.
Do you like heavier music?	I am not a fan
Do you like food served at fast food restaurants?	I prefer salads.
Are you into the outdoors?	I prefer it to being indoors
Do you like books about astrology?	I don't believe in that stuff.
Are you thinking of moving soon?	I want to move by the end of the year.
Are you open to having roommates?	I will need the extra cash.
Are you into novels with a complicated plot?	I like something simple.
Do you like concerts?	It depends on who's playing.
Are you a fan of foreign food?	It depends on where it's from.
Is your family going skiing this weekend?	If the kids get over their colds.
Do you have plans for this evening?	Not unless my friend answers my text.
Are you comfortable with a busy city?	I can handle it.
Are you a fan of pop music?	I definitely am
Do you like to go shopping?	I don't have a lot of spare cash.
Do you get along with everyone on this street?	almost everyone.
Do you eat out for the weekends?	It depends on whether I have any spare cash.
Are you doing something fun this weekend?	We're going to the zoo.
Do you like Chinese food?	I prefer Thai.
Do you like spacious apartments?	I think it's great
Would you like something more exotic?	I think I might
Can you afford the expensive rent?	I have plenty of cash to keep me going for a while.
You get that job?	I'm on the shortlist
Are you going to see Elton John's farewell tour?	I think I'll watch the DVD when it comes out.
Do you get on with your current colleagues?	My coworkers and I get along pretty well.
Do you like tex-mex food?	I prefer Japanese.
Does your mom still make those delicious chocolate chip cookies?	She started a business selling them.
Have you been to that new restaurant?	I've been really busy lately.
Can you show proof of income?	I should be able to
Did you sleep on your way here?	The flight was too noisy.
Do you listen to Country music?	Not at all.
Is everything good with you?	I've been very ill.
Would you like to exchange numbers?	I'll get my contacts open here.
Have you lived in this area long?	Several of my neighbors remember me in diapers.
Are you going to the high school football game tonight?	I'd rather do anything else.
Got anything going on on Saturday?	I am planting the garden.
Do you usually have to work late?	Often I find myself the last one at work.
Do you listen to classical music?	I'm not a fan
Have you taken any big vacations lately?	I went to Europe for 3 weeks last fall.
Would you like to pet my dog?	I am allergic.
Have you seen my new place before?	I haven't ever seen it
Do you work near by?	We work together.
Do you like French cuisine?	I have only tried it once
Are you looking to meet people?	I'm happy on my own.
How about some pancakes?	I had some yesterday.
Have you been to the cinema lately?	I haven't been for a few weeks
Have you ever ready Stephen King books?	I read The Shining when I was a teen.
Do you like buffets?	I can never eat that much.
Want to go to the library to browse?	More than you know.
Do you have five years of experience?	Only three.
Are you into biographies?	When it's autobiography.
Are you eligible for promotion?	I won't be for another six months.
Do you listen to new music every Friday?	I listen to the radio daily.
Do you read everyday?	Depends how busy my job is.
Have you ever read The Education?	Is that the one about corporal punishment in public schools?
Do you like horror movies?	Oh I love scary movies.
Are you a history fan?	Only of Eurasian history.
Do you like the neighborhood so far	I think its great
Have you continued doing sports?	Only when I have the time
do you want to go swimming?	I'd rather go skating.
Want to go see a musical?	If it has good reviews.
Can it have a heavy bass?	I love the thud thud of music.
Do you want a new challenge?	I've been so bored t work.
Are you relieved to get some time away?	It feels great!
Would you be into eating at a diner with burgers?	I want to get a salad.
Do you play football on weekends?	I gave that up.
Do you enjoy seafood?	I like crab and lobster.
Want to grab a coffee one of these days?	How about a beer?
Do you follow the local sports teams?	I do have a team I follow
Are you entering the christmas parade?	I've got no plans to do so.
Have you been to the new bar in the neighborhood?	It depends on which one.
Ever read any Russian literature?	It always seemed to hard to read.
Do you read alot?	I try to read every evening.
Is it stressful all the time?	it is very rarely stressful
Will you be joining any book clubs?	If I can find one that meets on weekends.
Do you enjoy mowing the lawn?	It's very zen.
Have you been to a book reading lately?	I prefer to read novels in the comfort of my own home.
Do you work close?	Quite close
Have you read Stephen King?	His writing is too scary for me.
Have you started looking yet?	I'll look when we arrive.
Do you want to catch a Christmas movie later?	I hope it is funny.
Will you be the head of your department?	That position has been filled.
Have you heard about the new outdoor music festival?	I haven't heard a thing
Do you see any of our old friends?	I haven't seen anyone else yet.
Do you prefer to relax on the weekends?	I pack my weekends with activities.
Do you read science type books?	In school I need to read them.
Can you show proof of income?	I haven't gotten a job there yet.
Are you free this weekend?	I have a full weekend.
Are you still living in the same house?	There are condos where the house was now.
Are you going to see family this weekend?	They are coming here instead.
Are you into trying new foods?	I love trying new cuisines.
Are you still in contact with the other neighbors?	some of them I am
Have you considered the cost of living?	My budget is really tight.
What work did you end up doing?	I'm a writer.
Are you getting a flat in the city?	I can only afford New Jersey.
Will you be going out at the weekend ?	I'm headed out to the slopes.
Are you dating anyone right now?	I have been married for several years.
Are you ready for the weekend?	I certainly am
Were you inside most of the day?	I do deliveries once a day.
Did you listen to the new Taylor Swift album?	I'm not a fan of her
Do you have any formal musical training?	I went to London College of Music.
Did you hear about that popular band  coming to town?	I haven't seen anything.
Are community gatherings important?	I don't usually go to them.
Are you doing well?	Life is really good.
Do you want a new challenge?	I was getting a little stale.
Does your house have a swimming pool?	Our house is very small and bijou.
Are you enjoying living here?	It has been an enjoyable experience so far
Are you into any sci-fi movies?	Only some of them
Do you want to get together tomorrow?	If I don't have to take my kids to soccer practice.
Did you enjoy reading non-fiction books in school?	It was more fun to read fiction.
Do you still live with your parents?	They moved.
Would  you  like to see the sights?	I would love to
Do you want to play some videogames?	I have epilepsy and can't look at rapidly moving graphics.
Will you be in tomorrow?	I don't come back till next week.
Are you enjoying the neighborhood?	It seems nice so far
Are you interested in politics?	I hate politics.
Are you going out this weekend?	I'm going out of town.
Would you be interested in seeing a comedy show?	I love comedy.
Do you like American style cuisine?	I like burgers.
Are you concerned about your salary?	It's way too low.
Do you have any plans this weekend?	I need to buy a car.
Do you have any kids?	With such over-population, I made a conscientious choice to not add to the problem.
Are you planning on walking to work?	I bought a bike.
Do you enjoy drum solos?	When someone's a master.
Is New York your only option?	There is also an opening in Boston.
Did you look at what's out there?	I had a peek
Do you like going to movies?	It's one of my hobbies
Do you play the piano?	I took lessons in college.
Are you watching any new TV shows?	I've been bingeing Mrs. Maisel.
Can you swim?	I swim like a fish.
Do you get promoted often?	I've only moved up once since I've been there.
Is live music something you enjoy?	I love concerts.
Did you figure out the commute times to work from different boroughs?	I still need to do those calculations.
Do you want large portions?	When I'm super hungry.
Would you like more benefits from your job?	I could use more dental coverage.
Do you like working the production line?	I find it gratifying,
Do you like ethnic food?	I like anything from another country.
Are you eligible for promotion?	I'm at the top level.
Are you willing to live by yourself?	If I can afford it.
do you have any places in mind you want to go?	I really want to see the newest art exhibitions.
Do you read murder mystery?	I prefer fantasy novels.
Are you a traveler?	I've never been outside the state of Virginia.
Do you like to take some time for yourself on the weekends?	It's important to me.
Have you eaten Oven Fired Pizza?	I had some when I visited New York.
Are you into art and culture?	I have an interest in it
Do you want to go for brunch tomorrow?	I would love to try something new.
Do you like to have family in town?	It's nice having them nearby.
Do you want to walk to the bus stop together?	That would be nice.
Do you get bored at your current job?	I spend a lot of time looking out of the window whilst at work.
Do you enjoy the theater?	I love live performances.
Is reggae your thing?	It's good music for chilling in the summer.
Have you seen that new movie?	I have not.
Do you like reggaeton music?	It gives me a headache.
Did you research the pros and cons?	I've had a lot of advice.
Did you have a favorite teacher when you where in elementary school?	I had a few that I liked
Do you eat organic foods?	Only when I can afford them.
Do you enjoy eating spicy food?	It upsets my stomach.
Have you lived in New York before?	I've lived in three borroughs.
Have you ever had allergies to food?	I only have allergies to bee stings.
Have you ever tried a job outdoors?	I have never done that
Do you want to live close to a subway stop?	That's a given.
Are you lactose intolerant?	I can only eat dairy sparingly.
Have you traveled out of the country?	We travel frequently.
Where would you like to go eat?	Pizza sounds good.
Ready for the weekend?	We're going to my mom's house.
Do you have your keys?	I forgot them upstairs.
Do you have kids already?	I'm kid free at the moment
Do you want to hang out later?	I could do with a stiff drink.
Have you been living here?	I've been here a few months
Would you want to go for a walk downtown?	I think I need a nap first.
Are you spending time with friends or family over the weekend?	I have too much work to do.
Have you got a salary in mind?	I'm fairly flexible.
Are you thinking about moving to New York permanently ?	I don't want to retire there.
Do you like to eat spicy food ?	I'd prefer not to
Have you ever been to a rock concert?	I go to one once a week.
Have you heard of any local restaurants?	I'm sure you'll point us in the right direction.
Do you work in town?	I work at the city high school.
Do you like modern literature?	The only genre I don't really like is true crime.
Have you been to a musical/opera?	I prefer ballet.
Is it close to your house?	It's a short commute.
Do you spend your time behind a computer screen?	I spend 10 hours a day at my computer.
Did you have nice bosses?	My superiors were not the best people to work for.
Can I buy you a drink?	I am not stopping you.
Do you watch sports?	Only when my brother is in town.
Do you want a place close to home?	I don't want to go out.
Have you gone to a concert recently?	I think the last one was around 5 years ago.
Do you want to meet some of my friends?	I need new friends.
Were you able to stop for a break on your way here?	I will try to
Do you mind a long subway ride?	Riding the subway gives me a chance to read more.
Have you been to a concert recently?	Laurie Anderson was fantastic.
Are you doing anything fun tonight?	I'm going to hit the hay early.
Do you have a favorite singer?	I prefer groups.
Do you have friends or family in New York?	Most of my friends live there.
Do you want to look through the museum?	Let's check out the ancient Egypt exhibit.
Do you make art?	I took some watercolor classes in high school.
Does it have two bedrooms?	It's a studio.
Will you be going out at the weekend ?	Probably just going to stay home and relax.
Would you ever be willing to volunteer?	That's a terrible idea.
Is a basement flat okay?	I need to be above ground.
Will you be watching that new drama this evening?	If it's available on netlfix.
Would you like to go out for a drink?	Let's go to your favorite bar.
Is it in the same industry?	I'm moving on to something totally different.
Are you looking for something more challenging?	That would be great.
Are you in a support position?	I am the head of a department.
Are you new to the area?	I've lived here forever.
Do you know what you'll do there?	I hope to work with artists.
Do you know anyone in the area?	I've met a few co-workers.
Are you partying this weekend?	I'm going to go out every night.
Did you ever read any books by Robert Ludlum?	I have not heard of Robert Ludlum
Are you interested in calling some Realtors?	That'd be helpful.
Do you think you can get a job in New York?	It's a place with a lot of opportunities
Are you in-line for a promotion?	I've been here long enough.
Heading home?	I am off to the horse track.
Do you want to try something new?	Everything else has gotten stale.
Are you looking in the same field?	I still want to work in the same field.
Enjoy reading books that make you laugh?	I love it when something makes me chuckle.
Are you wanting to move into the capital?	My first choice is Manhattan.
Do you like to run?	I can't stop running.
Do you like BBQ?	When it has a robust smoky flavor.
Do you want to change before we go out to dinner?	I'm comfortable in what I have on.
Have you discussed buying a flat with your family?	My mom doesn't know yet.
Do you love fast life?	I can handle it OK.
Do you read newspapers?	I prefer novels.
Want to eat at a restaurant?	I'd love to go out for Italian.
Do you mind hearing music from time to time?	I listen to it all the time.
Does your mom still make those delicious chocolate chip cookies?	She does!
Did you get your dream job?	sadly I didn't
Are you ready for some food?	I've been thinking about your secret brownie recipe all day.
Would you eat fish?	I'm a vegetarian.
Do you have any children ?	I am kid free at the moment
Do you not like where you live now?	New York is just too exciting to pass up.
Do you have your kids this weekend?	They are at their dad's house.
Do you like going to the movies?	I go very rarely.
Do you enjoy Mexican cuisine?	I prefer Asian food.
Do you want to rent or buy?	I'd rather buy.
Have you read Fifty Shades of Gray?	I try to stay away from books that are adapted to movies.
Are you from this city?	I moved here from the counrty
Do you find the weather pleasant?	It is lovely right now
Shall we going shopping?	we might as well
Do you have a lot of free time on the weekends?	The kids keep me busy.
Do you go to music festivals?	Only when they're local.
Do you have a high budget?	I'm trying to cut back on my spending.
Does your job have decent hours?	I pick my hours.
Are you watching a movie this weekend?	I probably won't have time to.
Are you in the mood for ramen?	I'd rather have hotpot.
Wanna hang out at the weekend?	I'm going out of town.
Was your trip good?	It was uneventful.
Is your department busy this time of year?	There's not much work.
Have you made dinner plans yet?	I have reservations at the new French place.
Would hanging out this weekend be something you're into?	I don't think I have time this weekend.
Do you like the rap music genre?	Hip-hop is high art.
Do you listen to music while you cook?	I usually watch TV when I cook.
Is your salary okay?	I'm earning enough to scrape by.
Have you tried that kind of work before?	I'm a pro at this.
Are you living in the city now?	I still need to take a train in from home.
Do you like children books?	I reread all my favorites at Christmas.
Can you afford to live in New York?	I need a second job.
Did you have a nice flight?	it was very long
Will you be working full-time?	its part time for now
Ever read any Russian literature?	I don't think so.
Are you a fan of mountain climbing?	I prefer swimming.
Do you like Country side?	The air smells a lot better.
Are you single?	I've been married for a few years.
Do you know who Christine Feehan is?	Tell me about her.
Do you want to change before we go out to dinner?	I'll just go as I am
Are you into EDM?	It's not my favorite.
Did you move here recently?	I just bought my place last month.
Want to go grab coffee and catch up?	I think I have a little time.
Do you like to drink?	I usually have a cocktail on the weekend.
Would you live there again if you had the chance?	I miss it very much.
Hey if you're up to it, would you like to hit the gym with me in the morning?	I'm already going to a yoga class.
Do you work long hours?	I generally work 50 hours per week.
Have you tried the new restaurant by work?	I haven't, but I've heard good things.
Where do you work?	It's classified.
Have you been to a musical/opera?	Once, I think.
Do you have a lift home?	I was going to call a car.
Do you get along with our colleagues?	They're wonderful.
Did you ever read Tolstoy in school?	I read Tolstoy at home.
Were you young when you first went to a concert?	I went to Rick Springfield when I was 12.
Do you plan on going home?	I have errands to run first.
Do you have house chores to do this weekend?	I've got to tidy up my kitchen this weekend.
Do you enjoy being outdoor?	I love to hike and ski.
Are you still working as a lawyer?	I'm now a senior partner.
Will you be spending Christmas in Calgary?	I'll be Naples.
Do you like crime novels?	I usually read non fiction.
Do you find your coworkers pleasant?	I'd say they are very amicable.
Feel like Chinese?	I prefer Italian.
Are you happy with your job?	It's OK.
Would you like to learn more about history?	Fiction is more interesting to me.
You have any change of clothes?	I have everything I need in my overnight bag.
Is it big?	It's very crowded
Are you into music?	I love my music
Do you like food with a lot of spices?	Although flavourful, I often have a bad reaction.
Do you like fantasy books?	When they're set in our world.
Did you stop anywhere on the way?	I didn't have time.
Did you marry your high school sweetheart?	I wasn't that fortunate.
Do you find your manager always offended?	They were very difficult to work with.
Did you move here because of work?	I got a great job here.
Are you getting bored at work?	My job could be more exciting.
Do you still like McDonald's?	I gave up junk food.
Do you have pets?	I love my dog, and my cat equally.
Do you like to BBQ?	I'm vegan.
Did you know there's no sales tax in Oregon?	That's awesome!
Have you read anything from the NYT bestseller list?	I haven't read anything for a month or so.
Do you not like your boss?	She doesn't like me either.
D you have plans for later?	I'm going to help plan a funeral.
Do you have a lot of hobbies?	I prefer do stick to one thing I'm good at.
Is it true you got married last year?	I have a  wedding ring to prove it.
Do you have to travel far?	It would be a pretty long commute.
Is the neighborhood good?	It's upscale with low crime.
Have you been downtown to any of the museums?	I'm a member of the art museum.
Are you into mystery novels?	If they're not too scary.
Are you into dancing?	I love to dance
Do you like working with others?	I can deal with anytone.
Would you like to meet up with our old friends?	It would be great to catch up with them.
Do you enjoy spending time with family on the weekend?	When I am close to them.
Did you want to grab a drink at happy hour before heading home?	I think I need to swing by my house first.
Do you want to listen to screamo?	I'd rather hear classical music.
Do you spend a lot on food?	We do eat out a lot.
Do you have a house?	We are in a 9th floor apartment.
Do you want me to walk you to your car?	If you don't mind.
Do you like spice in your food?	It depends on how spicy it is.
Are you looking for the same kind of position as you had before?	Only if the pay is better.
Would you like something European?	I like world music
Do you like arts and crafts?	I often knit things.
Want to go to the movies?	I'd rather go to the mall.
Do you like rice?	I eat rice with nearly every meal!
Do you like blues?	I find blues relaxing.
Have you been to the old neighborhood in the last year?	Several times, actually.
Have you been with the company long?	Two or so years.
Do you drink alcohol?	I do love a glass of beer.
Have you been looking for awhile?	I looked for a few months.
Have you heard about Jojo Moyes new book?	I'm not a fan of romance novels.
Did you like your previous job?	I hated it, which is why I needed a change.
Have you heard of any local restaurants?	I was hoping you would tell me some
Have you tried the new Thai restaurant at the Galleria?	I visited it last night.
Does rock interest you at all?	Rock is all I listen to!
Do you work with a lot of people?	Our team is small.
Do you regularly attend concerts?	We go to concerts twice a year.
Have you been trying to eat healthier?	I do my best.
Did you buy the 2 story victorian	I don't know who bought that one but it was't me.
Does Italian food appeal to you?	Lasagna's my favorite food.
Do you drink alcoholic beverages?	Only on special occasions.
Do you work everyday of the week?	Apart from weekends
Do you have to work your other job this weekend?	I am on holidays.
Do you go to concerts a lot?	I've never been to one.
Are you going to the high school reunion in June?	I can't, I have a wedding to attend.
You like high pitch songs?	They irritate me.
Do you have plans for this evening?	I plan to head to the gym tonight.
Would you go to a dance with me?	I'm not much of a dancer.
Do you like family style restaurants?	Family restaurants have the best food.
Do you want to go grab a Brooklyn style pizza?	that would be good
Do you enjoy mysteries?	I used to love Encyclopedia Brown.
Have you been to South America?	We went to Brazil last year.
Do you want some time on your own to explore?	I'm happy for company.
Do you want to meet for dinner?	If I'm home in time.
Are you into going to festivals?	Festivals are too crowded for me.
Have you decided which one you want?	I found a flat
Are you interested in politics?	Politics have never interest me.
Are you okay with spicy food?	I'd rather not eat spicy food.
Do you enjoy being shocked by an ending?	Only when there's a sequel.
Are you leaving tomorrow?	We are going to the comedy show tomorrow, remember?
You want to catch up over coffee?	I'd enjoy a coffee.
Have you ever been to a live rock gig?	I went to a Taylor Swift concert once.
Is your house nearby?	I'm staying in a motel around here.
Can we go for a walk?	I love walking around in the city.
Want to try a new restaurant nearby?	Tell me what you have in mind.
Was work fun?	Work is always a chore.
Would you like to meet up with my family later?	Only if I don't have to talk.
Do you know what happened to Jimmy after he moved away?	I haven't heard from him in years.
Do you intend to live in the flat ?	The flat is for me and my husband.
Has it been six years since we last saw each other?	That's exactly how long it's been.
Was that biography that you read any good?	One of the best books ever.
Do you sing along to the radio?	When I am alone.
Isn't New York apartment worth investment?	Depends on the apartment.
Have you been to the reggae fest here?	I've been a couple of times.
Is fiction what you're mostly into?	I read true stories more often.
Did you read The Help?	I've never heard of it.
How you seen the scooter rentals?	I haven't seen any yet
Do you remember me?	I could never forget my best friend.
Do you have to be home for a certain time?	The joy of being single, my time is my own.
Do you feel like going for a long walk tomorrow?	A walk outside would be refreshing.
Do you still listen to Lady Gaga?	I'm not into pop much.
Do you enjoy seafood?	Shrimp are delicious.
Do you like to watch movies?	I frequently go the cinema nearby.
Is it technical?	The position is creative.
Are you from this city?	I grew up here.
Do you prefer to read fiction?	I can take it or leave it.
Do you want to rent or buy?	Owning is a better investmement.
Ever read any Russian literature?	I can't say I have
Do you have plans for this weekend?	I'm meeting up with a few friends.
Is karaoke something you enjoy?	I find it extremely embarrassing.
Did you move from near-by?	I am from Canada.
Are you more into fancy restaurants?	I do like them
Have you ever taken a day off sick when you were not actually sick?	I can't imagine doing that.
Do you like to eat Asian fusion?	I have never tried it
Do you have dinner plans?	I did but thery were cancelled.
Do you like going on hikes?	When I have good shoes.
Are you into jazz?	I'm not not into jazz music.
Do you want to come over for a meal?	I have a roast in the oven.
Are you leaving tomorrow?	I'm staying here for two weeks
Have you always worked in this field?	I haven't got experience in this field
Have you tried Sweetish Hill on 6th yet?	Oh that sounds like a place I would like to try.
Are you an avid reader?	I read every night before bed.
Do you have a favourite instrument?	I love the drums.
Are you staying in a hotel?	I am for the time being
Hello and nice to see you, what do you do for work?	I have been unemployed.
Are you good at making new friends?	I have a few good friends.
Does your job require you to travel?	Only the communte
Are you up for a hike tomorrow morning?	I'm down for whatever.
Will you be participating in any sporting activities on Saturday ?	I have a root canal scheduled that day.
Have you been to an orchestra concert?	I haven't yet
Would you like to hike?	That depends on the weather.
Do you play any musical instruments?	I play many
Do you listen to music when you work out?	I can;t workout without music.
Have you read \\\\Harry Potter\\\\\\?\\	These books were a favorite in my book club.
Do you have friends that live around here?	A few.
Are you offering the asking price?	just a little below it
Can you afford $5,000 a month?	I have a big budget.
Do you have family from around here?	My siblings live close by.
Do you like museums?	I never usually do
Do you have a mortgage right now?	I paid my mortgage off last year.
How you seen the scooter rentals?	I tried one in San Diego -- they're fun.
Are you a fan of horror books?	The scarier, the better
Do you work in the area?	I work pretty close to here.
Are you relieved it's Friday?	I am always happy to see Friday
Are you a supervisor?	I am a manager
Do you get promoted often?	I've been promoted a few times.
Do you guys want to go get something to eat?	I could grab a bite.
Was the trip good?	The trip was short and sweet!
Do you know how much flats usually go for?	I have a fair idea
Have you lived here long?	only a few months
Do you enjoy Alamo draft house?	I am a regular there.
Do you ever go hiking?	I've done it once or twice
Are you a fan of sports?	I root for our home teams.
Do you like books by Steven King?	I prefer books by Stephen King.
Have you stayed in touch with anyone from school?	I haven't heard from anyone in years.
Are you a fan of foreign food?	I can't think of any I haven't enjoyed.
Do you have any vacation plans?	I want to go to the beach!
Hi, are you okay?	I think I just broke my toe.
Have you moved from out of town?	I moved in from the next town over.
Do you like scary contents?	I love horror fiction.
Do you like cardio?	Only at weekends
Are you into rap?	it's not my favorite type
Are you into music?	I play the saxophone.
What would you like to visit first?	That museum you mentioned sounded fascinating.
Are the two of you dating now?	We haven't starting dating.
Do you listen to new music every Friday?	I listen to new music whenever I get a chance.
Are you new to Austin?	Just moved from Dallas.
Would you like to have a balcony?	that would be ideal
Are you a vegetarian ?	That's laughable.
Is shopping up your alley?	I prefer free activities.
